A,Fission Yield,Z,S
66,7.2209712e-10,92,5.2975023253
67,3.6104877e-09,92,5.2975023253
68,7.1609675e-09,92,5.2975023253
69,1.5702121e-08,92,5.2975023253
70,3.6204887e-08,92,5.2975023253
71,8.3811314e-08,92,5.2975023253
72,2.6503573e-07,92,5.2975023253
73,8.9099501e-07,92,5.2975023253
74,3.3904581e-06,92,5.2975023253
75,1.0671442e-05,92,5.2975023253
76,3.0974195e-05,92,5.2975023253
77,7.9620755e-05,92,5.2975023253
78,2.0968835e-04,92,5.2975023253
79,4.4738050e-04,92,5.2975023253
80,1.2884945e-03,92,5.2975023253
81,2.0370758e-03,92,5.2975023253
82,3.2461279e-03,92,5.2975023253
83,5.3650732e-03,92,5.2975023253
84,1.0022283e-02,92,5.2975023253
85,1.3188912e-02,92,5.2975023253
86,1.9653783e-02,92,5.2975023253
87,2.5606434e-02,92,5.2975023253
88,3.5754876e-02,92,5.2975023253
89,4.7337143e-02,92,5.2975023253
90,5.7831343e-02,92,5.2975023253
91,5.8290330e-02,92,5.2975023253
92,6.0224882e-02,92,5.2975023253
93,6.3476014e-02,92,5.2975023253
94,6.4735278e-02,92,5.2975023253
95,6.5042055e-02,92,5.2975023253
96,6.3410870e-02,92,5.2975023253
97,5.9980334e-02,92,5.2975023253
98,5.7910822e-02,92,5.2975023253
99,6.1099910e-02,92,5.2975023253
100,6.2936625e-02,92,5.2975023253
101,5.1736191e-02,92,5.2975023253
102,4.2993596e-02,92,5.2975023253
103,3.0315578e-02,92,5.2975023253
104,1.8810791e-02,92,5.2975023253
105,9.6435818e-03,92,5.2975023253
106,4.0163028e-03,92,5.2975023253
107,1.4622181e-03,92,5.2975023253
108,5.4136307e-04,92,5.2975023253
109,3.1227229e-04,92,5.2975023253
110,2.5448439e-04,92,5.2975023253
111,1.7434365e-04,92,5.2975023253
112,1.3044762e-04,92,5.2975023253
113,1.4206919e-04,92,5.2975023253
114,1.1834600e-04,92,5.2975023253
115,1.2585703e-04,92,5.2975023253
116,1.3250791e-04,92,5.2975023253
117,1.2763726e-04,92,5.2975023253
118,1.1347535e-04,92,5.2975023253
119,1.2875741e-04,92,5.2975023253
120,1.2610703e-04,92,5.2975023253
121,1.3048762e-04,92,5.2975023253
122,1.5250055e-04,92,5.2975023253
123,1.5660117e-04,92,5.2975023253
124,2.6791625e-04,92,5.2975023253
125,2.9846660e-04,92,5.2975023253
126,5.8525906e-04,92,5.2975023253
127,1.5701222e-03,92,5.2975023253
128,3.4888727e-03,92,5.2975023253
129,5.4345928e-03,92,5.2975023253
130,1.8108777e-02,92,5.2975023253
131,2.8108085e-02,92,5.2975023253
132,4.3139889e-02,92,5.2975023253
133,6.7008200e-02,92,5.2975023253
134,7.8737078e-02,92,5.2975023253
135,6.5403376e-02,92,5.2975023253
136,6.3195632e-02,92,5.2975023253
137,6.1897801e-02,92,5.2975023253
138,6.7689503e-02,92,5.2975023253
139,6.4147184e-02,92,5.2975023253
140,6.2210104e-02,92,5.2975023253
141,5.8482042e-02,92,5.2975023253
142,5.8500744e-02,92,5.2975023253
143,5.9570026e-02,92,5.2975023253
144,5.5007074e-02,92,5.2975023253
145,3.9341794e-02,92,5.2975023253
146,2.9975177e-02,92,5.2975023253
147,2.2471887e-02,92,5.2975023253
148,1.6738859e-02,92,5.2975023253
149,1.0818511e-02,92,5.2975023253
150,6.5341336e-03,92,5.2975023253
151,4.9424719e-03,92,5.2975023253
152,2.6696808e-03,92,5.2975023253
153,1.2662903e-03,92,5.2975023253
154,7.4449059e-04,92,5.2975023253
155,3.2142341e-04,92,5.2975023253
156,1.4856007e-04,92,5.2975023253
157,6.1518319e-05,92,5.2975023253
158,3.2864436e-05,92,5.2975023253
159,1.0091363e-05,92,5.2975023253
160,3.1904311e-06,92,5.2975023253
161,8.5311533e-07,92,5.2975023253
162,1.5902150e-07,92,5.2975023253
163,6.1108259e-08,92,5.2975023253
164,1.8802550e-08,92,5.2975023253
165,9.5212870e-09,92,5.2975023253
166,3.6304905e-09,92,5.2975023253
167,2.4703339e-09,92,5.2975023253
168,5.7107719e-10,92,5.2975023253
169,2.3803204e-10,92,5.2975023253
170,5.0106744e-11,92,5.2975023253
171,2.3503131e-11,92,5.2975023253
172,7.6910425e-12,92,5.2975023253
66,7.2299366e-09,92,5.7975023
67,2.3199798e-08,92,5.7975023
68,4.0299667e-08,92,5.7975023
69,8.6999259e-08,92,5.7975023
70,1.8899847e-07,92,5.7975023
71,4.6499605e-07,92,5.7975023
72,1.6599856e-06,92,5.7975023
73,5.2399548e-06,92,5.7975023
74,1.1899898e-05,92,5.7975023
75,3.5299701e-05,92,5.7975023
76,1.7576856e-04,92,5.7975023
77,3.1807727e-04,92,5.7975023
78,5.7117508e-04,92,5.7975023
79,9.0856221e-04,92,5.7975023
80,1.7595443e-03,92,5.7975023
81,2.2799804e-03,92,5.7975023
82,3.4019304e-03,92,5.7975023
83,5.7679011e-03,92,5.7975023
84,1.0308131e-02,92,5.7975023
85,1.3637844e-02,92,5.7975023
86,1.9468387e-02,92,5.7975023
87,2.5438248e-02,92,5.7975023
88,3.4944008e-02,92,5.7975023
89,4.3736455e-02,92,5.7975023
90,5.4650009e-02,92,5.7975023
91,5.7334122e-02,92,5.7975023
92,5.8459519e-02,92,5.7975023
93,6.2540051e-02,92,5.7975023
94,6.3001643e-02,92,5.7975023
95,6.4319790e-02,92,5.7975023
96,6.2024366e-02,92,5.7975023
97,6.0028633e-02,92,5.7975023
98,5.9236937e-02,92,5.7975023
99,5.9431398e-02,92,5.7975023
100,6.2983244e-02,92,5.7975023
101,5.1242458e-02,92,5.7975023
102,4.3590441e-02,92,5.7975023
103,3.2439045e-02,92,5.7975023
104,2.0723613e-02,92,5.7975023
105,1.1963128e-02,92,5.7975023
106,5.3239443e-03,92,5.7975023
107,3.0232636e-03,92,5.7975023
108,1.3081487e-03,92,5.7975023
109,8.1545306e-04,92,5.7975023
110,6.4914430e-04,92,5.7975023
111,4.2576636e-04,92,5.7975023
112,3.7711674e-04,92,5.7975023
113,3.2613717e-04,92,5.7975023
114,3.2293723e-04,92,5.7975023
115,3.3877701e-04,92,5.7975023
116,3.4003706e-04,92,5.7975023
117,3.6818683e-04,92,5.7975023
118,3.3631718e-04,92,5.7975023
119,3.5019705e-04,92,5.7975023
120,3.5291702e-04,92,5.7975023
121,3.6810688e-04,92,5.7975023
122,4.0408653e-04,92,5.7975023
123,4.4062611e-04,92,5.7975023
124,6.3332444e-04,92,5.7975023
125,6.8029404e-04,92,5.7975023
126,9.7544161e-04,92,5.7975023
127,3.0627631e-03,92,5.7975023
128,5.0449671e-03,92,5.7975023
129,8.3516291e-03,92,5.7975023
130,1.7946186e-02,92,5.7975023
131,3.2195232e-02,92,5.7975023
132,4.6710315e-02,92,5.7975023
133,6.7239769e-02,92,5.7975023
134,7.6666807e-02,92,5.7975023
135,6.6013055e-02,92,5.7975023
136,6.2270757e-02,92,5.7975023
137,6.2215087e-02,92,5.7975023
138,6.6804694e-02,92,5.7975023
139,6.3432539e-02,92,5.7975023
140,5.9779281e-02,92,5.7975023
141,5.9490824e-02,92,5.7975023
142,5.5421427e-02,92,5.7975023
143,5.7311606e-02,92,5.7975023
144,5.2686491e-02,92,5.7975023
145,3.7756982e-02,92,5.7975023
146,2.9213472e-02,92,5.7975023
147,2.1388690e-02,92,5.7975023
148,1.6834280e-02,92,5.7975023
149,1.0369640e-02,92,5.7975023
150,6.8583017e-03,92,5.7975023
151,4.1198745e-03,92,5.7975023
152,2.7085357e-03,92,5.7975023
153,1.6705457e-03,92,5.7975023
154,7.2318373e-04,92,5.7975023
155,3.9471671e-04,92,5.7975023
156,2.0258826e-04,92,5.7975023
157,1.0582909e-04,92,5.7975023
158,6.4939441e-05,92,5.7975023
159,3.0069741e-05,92,5.7975023
160,1.1319903e-05,92,5.7975023
161,3.3299712e-06,92,5.7975023
162,5.7699511e-07,92,5.7975023
163,9.6199171e-08,92,5.7975023
164,5.7699505e-08,92,5.7975023
165,2.3099796e-08,92,5.7975023
166,9.6199164e-09,92,5.7975023
167,3.8499667e-09,92,5.7975023
168,9.6199170e-10,92,5.7975023
169,5.7699523e-10,92,5.7975023
170,1.9199869e-10,92,5.7975023
171,6.7299365e-11,92,5.7975023
172,1.9199823e-11,92,5.7975023
66,2.8891610e-06,92,19.2975023
67,6.0570155e-06,92,19.2975023
68,8.0305293e-06,92,19.2975023
69,1.2525080e-05,92,19.2975023
70,2.3130168e-05,92,19.2975023
71,3.9621672e-05,92,19.2975023
72,6.0368941e-05,92,19.2975023
73,1.1089972e-04,92,19.2975023
74,1.7078998e-04,92,19.2975023
75,2.7096313e-04,92,19.2975023
76,3.9893383e-04,92,19.2975023
77,6.5652497e-04,92,19.2975023
78,1.0003991e-03,92,19.2975023
79,1.6837827e-03,92,19.2975023
80,2.5266431e-03,92,19.2975023
81,3.3099965e-03,92,19.2975023
82,5.9600495e-03,92,19.2975023
83,1.1043595e-02,92,19.2975023
84,1.3825035e-02,92,19.2975023
85,1.8010813e-02,92,19.2975023
86,1.7912302e-02,92,19.2975023
87,2.3905187e-02,92,19.2975023
88,3.3809914e-02,92,19.2975023
89,4.1796101e-02,92,19.2975023
90,4.7297507e-02,92,19.2975023
91,4.8565498e-02,92,19.2975023
92,5.1005460e-02,92,19.2975023
93,5.1069941e-02,92,19.2975023
94,5.2157333e-02,92,19.2975023
95,5.2224218e-02,92,19.2975023
96,5.2393596e-02,92,19.2975023
97,5.5678473e-02,92,19.2975023
98,5.4333418e-02,92,19.2975023
99,5.1821061e-02,92,19.2975023
100,3.9346068e-02,92,19.2975023
101,3.4666651e-02,92,19.2975023
102,3.2636764e-02,92,19.2975023
103,3.2175953e-02,92,19.2975023
104,2.4793750e-02,92,19.2975023
105,1.8883769e-02,92,19.2975023
106,1.6180941e-02,92,19.2975023
107,1.2906820e-02,92,19.2975023
108,1.1820824e-02,92,19.2975023
109,1.1760740e-02,92,19.2975023
110,1.0906739e-02,92,19.2975023
111,1.0837520e-02,92,19.2975023
112,1.0020085e-02,92,19.2975023
113,1.0203522e-02,92,19.2975023
114,9.8429689e-03,92,19.2975023
115,1.1879465e-02,92,19.2975023
116,1.0221115e-02,92,19.2975023
117,9.7473911e-03,92,19.2975023
118,1.0863248e-02,92,19.2975023
119,1.0444421e-02,92,19.2975023
120,1.0948178e-02,92,19.2975023
121,1.0580589e-02,92,19.2975023
122,1.1504298e-02,92,19.2975023
123,1.1199673e-02,92,19.2975023
124,1.2953912e-02,92,19.2975023
125,1.4576582e-02,92,19.2975023
126,1.8698786e-02,92,19.2975023
127,2.1898481e-02,92,19.2975023
128,2.4638067e-02,92,19.2975023
129,3.0052858e-02,92,19.2975023
130,3.6146127e-02,92,19.2975023
131,4.1196183e-02,92,19.2975023
132,4.9026406e-02,92,19.2975023
133,5.5516529e-02,92,19.2975023
134,5.7312435e-02,92,19.2975023
135,5.7546155e-02,92,19.2975023
136,5.2320969e-02,92,19.2975023
137,5.0372021e-02,92,19.2975023
138,4.6223516e-02,92,19.2975023
139,4.8472127e-02,92,19.2975023
140,4.5476613e-02,92,19.2975023
141,4.5041803e-02,92,19.2975023
142,4.2139417e-02,92,19.2975023
143,3.8361029e-02,92,19.2975023
144,3.1861528e-02,92,19.2975023
145,2.7237215e-02,92,19.2975023
146,2.2083191e-02,92,19.2975023
147,1.6299232e-02,92,19.2975023
148,1.2025226e-02,92,19.2975023
149,8.1686690e-03,92,19.2975023
150,5.1395830e-03,92,19.2975023
151,3.5562847e-03,92,19.2975023
152,2.5867419e-03,92,19.2975023
153,2.0356719e-03,92,19.2975023
154,1.2748924e-03,92,19.2975023
155,7.9045291e-04,92,19.2975023
156,5.8131741e-04,92,19.2975023
157,3.7859327e-04,92,19.2975023
158,2.3565423e-04,92,19.2975023
159,1.2173646e-04,92,19.2975023
160,7.2374558e-05,92,19.2975023
161,5.2823913e-05,92,19.2975023
162,2.7934760e-05,92,19.2975023
163,1.5905557e-05,92,19.2975023
164,9.7996701e-06,92,19.2975023
165,5.3979133e-06,92,19.2975023
166,2.8082556e-06,92,19.2975023
167,1.8604889e-06,92,19.2975023
168,1.0216778e-06,92,19.2975023
169,7.8343970e-07,92,19.2975023
170,3.2661809e-07,92,19.2975023
171,1.7701137e-07,92,19.2975023
172,1.6621989e-07,92,19.2975023
66,9.9800009e-09,96,7.469412
67,2.9900003e-08,96,7.469412
68,3.9900003e-08,96,7.469412
69,5.9900001e-08,96,7.469412
70,1.5000001e-07,96,7.469412
71,2.5900003e-07,96,7.469412
72,6.3899993e-07,96,7.469412
73,2.0000006e-06,96,7.469412
74,3.9900001e-06,96,7.469412
75,8.9799998e-06,96,7.469412
76,1.3640000e-05,96,7.469412
77,4.9419997e-05,96,7.469412
78,1.2980000e-04,96,7.469412
79,2.7956000e-04,96,7.469412
80,4.7488997e-04,96,7.469412
81,8.5864994e-04,96,7.469412
82,1.2479601e-03,96,7.469412
83,1.9127701e-03,96,7.469412
84,2.8989102e-03,96,7.469412
85,4.0937198e-03,96,7.469412
86,5.6698699e-03,96,7.469412
87,7.9001606e-03,96,7.469412
88,9.6018199e-03,96,7.469412
89,1.2197969e-02,96,7.469412
90,1.5177041e-02,96,7.469412
91,1.8870719e-02,96,7.469412
92,2.2696590e-02,96,7.469412
93,2.6611078e-02,96,7.469412
94,3.3580674e-02,96,7.469412
95,4.0156319e-02,96,7.469412
96,4.6337654e-02,96,7.469412
97,4.8449372e-02,96,7.469412
98,5.2054084e-02,96,7.469412
99,5.4276099e-02,96,7.469412
100,5.6492492e-02,96,7.469412
101,5.9533342e-02,96,7.469412
102,5.9733855e-02,96,7.469412
103,5.9433836e-02,96,7.469412
104,5.9451204e-02,96,7.469412
105,5.7854405e-02,96,7.469412
106,5.4838605e-02,96,7.469412
107,5.1342536e-02,96,7.469412
108,4.4850866e-02,96,7.469412
109,3.4062205e-02,96,7.469412
110,2.4128177e-02,96,7.469412
111,1.4277380e-02,96,7.469412
112,7.3883004e-03,96,7.469412
113,3.5141406e-03,96,7.469412
114,1.7959704e-03,96,7.469412
115,1.1057500e-03,96,7.469412
116,9.9775997e-04,96,7.469412
117,9.9841997e-04,96,7.469412
118,8.9858010e-04,96,7.469412
119,8.9857995e-04,96,7.469412
120,8.4866007e-04,96,7.469412
121,8.2838007e-04,96,7.469412
122,9.2673001e-04,96,7.469412
123,1.0720301e-03,96,7.469412
124,1.1839700e-03,96,7.469412
125,1.5593101e-03,96,7.469412
126,2.6890802e-03,96,7.469412
127,3.7316605e-03,96,7.469412
128,6.0425402e-03,96,7.469412
129,1.0114920e-02,96,7.469412
130,1.9066860e-02,96,7.469412
131,3.4554961e-02,96,7.469412
132,4.8870635e-02,96,7.469412
133,5.6472692e-02,96,7.469412
134,6.2964524e-02,96,7.469412
135,6.7648623e-02,96,7.469412
136,8.3029737e-02,96,7.469412
137,6.9813467e-02,96,7.469412
138,6.4410326e-02,96,7.469412
139,5.7756297e-02,96,7.469412
140,5.3709601e-02,96,7.469412
141,4.7686467e-02,96,7.469412
142,5.3819585e-02,96,7.469412
143,4.9660818e-02,96,7.469412
144,3.9491469e-02,96,7.469412
145,3.2975300e-02,96,7.469412
146,2.7940165e-02,96,7.469412
147,2.1800788e-02,96,7.469412
148,1.8068500e-02,96,7.469412
149,1.4926670e-02,96,7.469412
150,1.2410710e-02,96,7.469412
151,9.3291704e-03,96,7.469412
152,7.5038502e-03,96,7.469412
153,5.4575903e-03,96,7.469412
154,4.0795704e-03,96,7.469412
155,2.9237104e-03,96,7.469412
156,2.0465995e-03,96,7.469412
157,1.3644401e-03,96,7.469412
158,8.8735000e-04,96,7.469412
159,5.3602008e-04,96,7.469412
160,3.4201008e-04,96,7.469412
161,1.8516998e-04,96,7.469412
162,7.3649994e-05,96,7.469412
163,2.4550002e-05,96,7.469412
164,1.0780000e-05,96,7.469412
165,5.2599979e-06,96,7.469412
166,2.1400005e-06,96,7.469412
167,7.7999993e-07,96,7.469412
168,2.4400001e-07,96,7.469412
169,1.4600000e-07,96,7.469412
170,1.0099998e-07,96,7.469412
171,4.4799809e-08,96,7.469412
172,2.7300004e-08,96,7.469412
66,3.4200024e-08,96,5.6937038309634
67,8.5600065e-08,96,5.6937038309634
68,2.1200017e-07,96,5.6937038309634
69,4.7000036e-07,96,5.6937038309634
70,8.5600057e-07,96,5.6937038309634
71,1.7000008e-06,96,5.6937038309634
72,3.7600027e-06,96,5.6937038309634
73,6.7000044e-06,96,5.6937038309634
74,1.7120016e-05,96,5.6937038309634
75,4.2380035e-05,96,5.6937038309634
76,8.5820070e-05,96,5.6937038309634
77,1.7785014e-04,96,5.6937038309634
78,2.9914023e-04,96,5.6937038309634
79,5.1272030e-04,96,5.6937038309634
80,8.5619061e-04,96,5.6937038309634
81,1.5871411e-03,96,5.6937038309634
82,2.4625123e-03,96,5.6937038309634
83,3.5570324e-03,96,5.6937038309634
84,4.2191636e-03,96,5.6937038309634
85,4.0685324e-03,96,5.6937038309634
86,5.5052437e-03,96,5.6937038309634
87,7.1781340e-03,96,5.6937038309634
88,7.7680856e-03,96,5.6937038309634
89,1.0584978e-02,96,5.6937038309634
90,1.1365207e-02,96,5.6937038309634
91,1.1552029e-02,96,5.6937038309634
92,1.3775640e-02,96,5.6937038309634
93,1.7946944e-02,96,5.6937038309634
94,2.2070936e-02,96,5.6937038309634
95,2.8935505e-02,96,5.6937038309634
96,3.3465851e-02,96,5.6937038309634
97,3.9605207e-02,96,5.6937038309634
98,4.7394689e-02,96,5.6937038309634
99,5.0217651e-02,96,5.6937038309634
100,5.4296647e-02,96,5.6937038309634
101,5.9465355e-02,96,5.6937038309634
103,6.4217320e-02,96,5.6937038309634
104,6.7145252e-02,96,5.6937038309634
105,6.3838280e-02,96,5.6937038309634
106,5.9106974e-02,96,5.6937038309634
107,5.6669122e-02,96,5.6937038309634
108,4.3063405e-02,96,5.6937038309634
109,4.1053244e-02,96,5.6937038309634
110,2.6259887e-02,96,5.6937038309634
111,1.8492413e-02,96,5.6937038309634
112,2.3554707e-02,96,5.6937038309634
113,4.6698341e-03,96,5.6937038309634
114,1.7781912e-03,96,5.6937038309634
115,1.6274013e-03,96,5.6937038309634
116,6.9466045e-04,96,5.6937038309634
117,4.5783025e-04,96,5.6937038309634
118,3.2313026e-04,96,5.6937038309634
119,2.7294024e-04,96,5.6937038309634
120,3.5218023e-04,96,5.6937038309634
121,3.7392026e-04,96,5.6937038309634
122,5.4121041e-04,96,5.6937038309634
123,6.1131044e-04,96,5.6937038309634
124,7.2503047e-04,96,5.6937038309634
125,1.0230607e-03,96,5.6937038309634
126,1.6626113e-03,96,5.6937038309634
127,6.5531149e-03,96,5.6937038309634
128,7.4579561e-03,96,5.6937038309634
129,1.2067089e-02,96,5.6937038309634
130,2.1336066e-02,96,5.6937038309634
131,3.1934946e-02,96,5.6937038309634
132,4.7736885e-02,96,5.6937038309634
133,5.7425156e-02,96,5.6937038309634
134,7.5282510e-02,96,5.6937038309634
135,5.9083930e-02,96,5.6937038309634
136,4.8689489e-02,96,5.6937038309634
137,6.3172439e-02,96,5.6937038309634
138,5.8133269e-02,96,5.6937038309634
139,6.8000590e-02,96,5.6937038309634
140,5.5404161e-02,96,5.6937038309634
141,5.1492270e-02,96,5.6937038309634
142,3.7738855e-02,96,5.6937038309634
143,4.2859059e-02,96,5.6937038309634
144,3.7210551e-02,96,5.6937038309634
145,3.2734535e-02,96,5.6937038309634
146,2.4573583e-02,96,5.6937038309634
147,2.0922126e-02,96,5.6937038309634
148,2.3531425e-02,96,5.6937038309634
149,1.9847485e-02,96,5.6937038309634
150,1.8525889e-02,96,5.6937038309634
151,1.2448538e-02,96,5.6937038309634
152,1.2379079e-02,96,5.6937038309634
153,1.3095231e-02,96,5.6937038309634
154,9.0414165e-03,96,5.6937038309634
155,7.0837650e-03,96,5.6937038309634
156,4.4505828e-03,96,5.6937038309634
157,4.5538537e-03,96,5.6937038309634
158,3.4490320e-03,96,5.6937038309634
159,2.3337215e-03,96,5.6937038309634
160,1.8429813e-03,96,5.6937038309634
161,1.2184909e-03,96,5.6937038309634
162,8.1061061e-04,96,5.6937038309634
163,5.5762044e-04,96,5.6937038309634
164,2.5414015e-04,96,5.6937038309634
165,1.1049008e-04,96,5.6937038309634
166,4.5440034e-05,96,5.6937038309634
167,2.2720012e-05,96,5.6937038309634
168,1.3420009e-05,96,5.6937038309634
169,6.0900047e-06,96,5.6937038309634
170,3.0100016e-06,96,5.6937038309634
171,1.7600012e-06,96,5.6937038309634
172,9.5700065e-07,96,5.6937038309634
66,9.5000011e-08,96,6.19311
67,1.8000001e-07,96,6.19311
68,3.4000001e-07,96,6.19311
69,6.7000005e-07,96,6.19311
70,1.4000000e-06,96,6.19311
71,2.6999997e-06,96,6.19311
72,5.3000012e-06,96,6.19311
73,1.0000001e-05,96,6.19311
74,2.0000002e-05,96,6.19311
75,3.7000005e-05,96,6.19311
76,6.6469999e-05,96,6.19311
77,1.2000000e-04,96,6.19311
78,2.0000998e-04,96,6.19311
79,3.4002002e-04,96,6.19311
80,5.5037997e-04,96,6.19311
81,8.7004000e-04,96,6.19311
82,1.3321602e-03,96,6.19311
83,1.9999801e-03,96,6.19311
84,3.0079702e-03,96,6.19311
85,4.2005092e-03,96,6.19311
86,5.8585606e-03,96,6.19311
87,7.8294110e-03,96,6.19311
88,1.0034721e-02,96,6.19311
89,1.3013200e-02,96,6.19311
90,1.6003311e-02,96,6.19311
91,1.9001595e-02,96,6.19311
92,2.3038573e-02,96,6.19311
93,2.6084306e-02,96,6.19311
94,3.0016389e-02,96,6.19311
95,3.2284035e-02,96,6.19311
96,3.6220519e-02,96,6.19311
97,4.0007124e-02,96,6.19311
98,4.4023457e-02,96,6.19311
99,4.9003412e-02,96,6.19311
100,5.5039169e-02,96,6.19311
101,6.1000859e-02,96,6.19311
102,6.6002282e-02,96,6.19311
103,6.9001872e-02,96,6.19311
104,6.9011572e-02,96,6.19311
105,6.6000923e-02,96,6.19311
106,6.0000842e-02,96,6.19311
107,5.2000722e-02,96,6.19311
108,4.2001351e-02,96,6.19311
109,3.2000657e-02,96,6.19311
110,2.2035003e-02,96,6.19311
111,1.5000301e-02,96,6.19311
112,9.6001900e-03,96,6.19311
113,5.9001607e-03,96,6.19311
114,3.5001003e-03,96,6.19311
115,2.1000398e-03,96,6.19311
116,1.3000402e-03,96,6.19311
117,8.8002010e-04,96,6.19311
118,6.8000997e-04,96,6.19311
119,6.0000999e-04,96,6.19311
120,5.7001005e-04,96,6.19311
121,5.9002004e-04,96,6.19311
122,6.5438003e-04,96,6.19311
123,7.9378010e-04,96,6.19311
124,1.1001500e-03,96,6.19311
125,2.1121002e-03,96,6.19311
126,2.9766999e-03,96,6.19311
127,4.9724902e-03,96,6.19311
128,8.2549197e-03,96,6.19311
129,1.2928622e-02,96,6.19311
130,2.0006421e-02,96,6.19311
131,2.8887226e-02,96,6.19311
132,3.8848352e-02,96,6.19311
133,4.8809476e-02,96,6.19311
134,5.7955109e-02,96,6.19311
135,6.4752043e-02,96,6.19311
136,7.4690681e-02,96,6.19311
137,6.8135906e-02,96,6.19311
138,6.6833427e-02,96,6.19311
139,6.1759562e-02,96,6.19311
140,5.6780980e-02,96,6.19311
141,4.8501889e-02,96,6.19311
142,4.5828618e-02,96,6.19311
143,4.0842315e-02,96,6.19311
144,3.6992166e-02,96,6.19311
145,3.3867804e-02,96,6.19311
146,3.0879442e-02,96,6.19311
147,2.6895000e-02,96,6.19311
148,2.3906930e-02,96,6.19311
149,1.9890016e-02,96,6.19311
150,1.7292050e-02,96,6.19311
151,1.3923001e-02,96,6.19311
152,1.0939451e-02,96,6.19311
153,8.4338901e-03,96,6.19311
154,6.3794004e-03,96,6.19311
155,4.5642197e-03,96,6.19311
